round,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,rejected_clients,scenario
4.0,1.2269789211332889,1.2269789211332889,1.2269789211332889,1.2269789211332889,2.5386833542398297,2.5386833542398297,2.5386833542398297,2.5386833542398297,0.5811465439196948,0.5811465439196948,0.5811465439196948,0.5811465439196948,,label_flip_no_defense
5.0,1.2414672783446254,1.2414672783446254,1.2414672783446254,1.2414672783446254,2.5477370649105238,2.5477370649105238,2.5477370649105238,2.5477370649105238,0.5708619583408682,0.5708619583408682,0.5708619583408682,0.5708619583408682,,label_flip_no_defense
6.0,1.473760443229616,1.473760443229616,1.473760443229616,1.473760443229616,2.533481575611416,2.533481575611416,2.533481575611416,2.533481575611416,0.57529241393177,0.57529241393177,0.57529241393177,0.57529241393177,,label_flip_no_defense
7.0,1.263163198152322,1.263163198152322,1.263163198152322,1.263163198152322,2.5369512157757814,2.5369512157757814,2.5369512157757814,2.5369512157757814,0.5582332715061936,0.5582332715061936,0.5582332715061936,0.5582332715061936,,label_flip_no_defense
8.0,1.2837982753554833,1.2837982753554833,1.2837982753554833,1.2837982753554833,2.544213858504672,2.544213858504672,2.544213858504672,2.544213858504672,0.605838998523227,0.605838998523227,0.605838998523227,0.605838998523227,,label_flip_no_defense
9.0,1.2442694193859405,1.2442694193859405,1.2442694193859405,1.2442694193859405,2.553625720992853,2.553625720992853,2.553625720992853,2.553625720992853,0.6525756550793173,0.6525756550793173,0.6525756550793173,0.6525756550793173,,label_flip_no_defense
10.0,1.238209655418844,1.238209655418844,1.238209655418844,1.238209655418844,2.534818828151981,2.534818828151981,2.534818828151981,2.534818828151981,0.6187498148342299,0.6187498148342299,0.6187498148342299,0.6187498148342299,,label_flip_no_defense
11.0,1.3115689567284738,1.3115689567284738,1.3115689567284738,1.3115689567284738,2.516026011041183,2.516026011041183,2.516026011041183,2.516026011041183,0.6115951206406227,0.6115951206406227,0.6115951206406227,0.6115951206406227,,label_flip_no_defense
12.0,1.2198491054027432,1.2198491054027432,1.2198491054027432,1.2198491054027432,2.546847269427979,2.546847269427979,2.546847269427979,2.546847269427979,0.6000183974986996,0.6000183974986996,0.6000183974986996,0.6000183974986996,,label_flip_no_defense
13.0,1.319359684200312,1.319359684200312,1.319359684200312,1.319359684200312,2.526817009306055,2.526817009306055,2.526817009306055,2.526817009306055,0.6014239922753544,0.6014239922753544,0.6014239922753544,0.6014239922753544,,label_flip_no_defense
14.0,1.3408948095509667,1.3408948095509667,1.3408948095509667,1.3408948095509667,2.5403319009991945,2.5403319009991945,2.5403319009991945,2.5403319009991945,0.6397019625975328,0.6397019625975328,0.6397019625975328,0.6397019625975328,,label_flip_no_defense
15.0,1.2435830508466963,1.2435830508466963,1.2435830508466963,1.2435830508466963,2.529079084703751,2.529079084703751,2.529079084703751,2.529079084703751,0.5947519556897701,0.5947519556897701,0.5947519556897701,0.5947519556897701,,label_flip_no_defense
16.0,1.1905777821883712,1.1905777821883712,1.1905777821883712,1.1905777821883712,2.522834979749465,2.522834979749465,2.522834979749465,2.522834979749465,0.6402032957219944,0.6402032957219944,0.6402032957219944,0.6402032957219944,,label_flip_no_defense
17.0,1.1989751966098658,1.1989751966098658,1.1989751966098658,1.1989751966098658,2.518495845957818,2.518495845957818,2.518495845957818,2.518495845957818,0.6641286368253425,0.6641286368253425,0.6641286368253425,0.6641286368253425,,label_flip_no_defense
18.0,1.266759990101635,1.266759990101635,1.266759990101635,1.266759990101635,2.547803247416968,2.547803247416968,2.547803247416968,2.547803247416968,0.6619660734429477,0.6619660734429477,0.6619660734429477,0.6619660734429477,,label_flip_no_defense
19.0,1.315244725752826,1.315244725752826,1.315244725752826,1.315244725752826,2.5307156251142837,2.5307156251142837,2.5307156251142837,2.5307156251142837,0.631792576995642,0.631792576995642,0.631792576995642,0.631792576995642,,label_flip_no_defense
20.0,1.2319871960355022,1.2319871960355022,1.2319871960355022,1.2319871960355022,2.530734534009965,2.530734534009965,2.530734534009965,2.530734534009965,0.6610297858118265,0.6610297858118265,0.6610297858118265,0.6610297858118265,,label_flip_no_defense
1.0,1.2987603522689362,1.2987603522689362,1.2987603522689362,1.2987603522689362,0.3721669455156975,0.3721669455156975,0.3721669455156975,0.3721669455156975,0.6545429326863158,0.6545429326863158,0.6545429326863158,0.6545429326863158,,normal_fl
2.0,1.2455564953400426,1.2455564953400426,1.2455564953400426,1.2455564953400426,0.3512155616966109,0.3512155616966109,0.3512155616966109,0.3512155616966109,0.6041072378915641,0.6041072378915641,0.6041072378915641,0.6041072378915641,,normal_fl
3.0,1.3818154222714485,1.3818154222714485,1.3818154222714485,1.3818154222714485,0.3562617361828374,0.3562617361828374,0.3562617361828374,0.3562617361828374,0.5757543478755784,0.5757543478755784,0.5757543478755784,0.5757543478755784,,normal_fl
4.0,1.2214357202681518,1.2214357202681518,1.2214357202681518,1.2214357202681518,0.3729978003173677,0.3729978003173677,0.3729978003173677,0.3729978003173677,0.5877828082320191,0.5877828082320191,0.5877828082320191,0.5877828082320191,,normal_fl
5.0,1.2468073676290543,1.2468073676290543,1.2468073676290543,1.2468073676290543,0.3544990150601042,0.3544990150601042,0.3544990150601042,0.3544990150601042,0.5591164113493229,0.5591164113493229,0.5591164113493229,0.5591164113493229,,normal_fl
6.0,1.4412220493784702,1.4412220493784702,1.4412220493784702,1.4412220493784702,0.3823844880167178,0.3823844880167178,0.3823844880167178,0.3823844880167178,0.5712660944327874,0.5712660944327874,0.5712660944327874,0.5712660944327874,,normal_fl
7.0,1.2398967246690566,1.2398967246690566,1.2398967246690566,1.2398967246690566,0.4036279088372737,0.4036279088372737,0.4036279088372737,0.4036279088372737,0.5726922839530774,0.5726922839530774,0.5726922839530774,0.5726922839530774,,normal_fl
8.0,1.2309135721949007,1.2309135721949007,1.2309135721949007,1.2309135721949007,0.4049764765636232,0.4049764765636232,0.4049764765636232,0.4049764765636232,0.6203870356550285,0.6203870356550285,0.6203870356550285,0.6203870356550285,,normal_fl
9.0,1.23306055209212,1.23306055209212,1.23306055209212,1.23306055209212,0.4246968580557295,0.4246968580557295,0.4246968580557295,0.4246968580557295,0.6512582056103169,0.6512582056103169,0.6512582056103169,0.6512582056103169,,normal_fl
10.0,1.1768894340332126,1.1768894340332126,1.1768894340332126,1.1768894340332126,0.4228113301867146,0.4228113301867146,0.4228113301867146,0.4228113301867146,0.6220453428926738,0.6220453428926738,0.6220453428926738,0.6220453428926738,,normal_fl
11.0,1.285931134532279,1.285931134532279,1.285931134532279,1.285931134532279,0.415916085717591,0.415916085717591,0.415916085717591,0.415916085717591,0.6262613715988753,0.6262613715988753,0.6262613715988753,0.6262613715988753,,normal_fl
12.0,1.216690204942371,1.216690204942371,1.216690204942371,1.216690204942371,0.4225094092479002,0.4225094092479002,0.4225094092479002,0.4225094092479002,0.6416655932915051,0.6416655932915051,0.6416655932915051,0.6416655932915051,,normal_fl
13.0,1.2415143881005133,1.2415143881005133,1.2415143881005133,1.2415143881005133,0.4327926261514902,0.4327926261514902,0.4327926261514902,0.4327926261514902,0.6079054194815444,0.6079054194815444,0.6079054194815444,0.6079054194815444,,normal_fl
14.0,1.3147948987689306,1.3147948987689306,1.3147948987689306,1.3147948987689306,0.4409278198091695,0.4409278198091695,0.4409278198091695,0.4409278198091695,0.6292694548674747,0.6292694548674747,0.6292694548674747,0.6292694548674747,,normal_fl
15.0,1.2410774998900789,1.2410774998900789,1.2410774998900789,1.2410774998900789,0.450830256271389,0.450830256271389,0.450830256271389,0.450830256271389,0.5963088101045328,0.5963088101045328,0.5963088101045328,0.5963088101045328,,normal_fl
16.0,1.1999169017102735,1.1999169017102735,1.1999169017102735,1.1999169017102735,0.4565814848101642,0.4565814848101642,0.4565814848101642,0.4565814848101642,0.6569129926387476,0.6569129926387476,0.6569129926387476,0.6569129926387476,,normal_fl
17.0,1.3227023901558796,1.3227023901558796,1.3227023901558796,1.3227023901558796,0.4442473783770188,0.4442473783770188,0.4442473783770188,0.4442473783770188,0.6707560760493937,0.6707560760493937,0.6707560760493937,0.6707560760493937,,normal_fl
18.0,1.2546514574758962,1.2546514574758962,1.2546514574758962,1.2546514574758962,0.4563743596467735,0.4563743596467735,0.4563743596467735,0.4563743596467735,0.6493212846490822,0.6493212846490822,0.6493212846490822,0.6493212846490822,,normal_fl
19.0,1.3052491103965298,1.3052491103965298,1.3052491103965298,1.3052491103965298,0.4512914848608809,0.4512914848608809,0.4512914848608809,0.4512914848608809,0.6375881374002507,0.6375881374002507,0.6375881374002507,0.6375881374002507,,normal_fl
20.0,1.3272026900387637,1.3272026900387637,1.3272026900387637,1.3272026900387637,0.4622994425674628,0.4622994425674628,0.4622994425674628,0.4622994425674628,0.6737177504018317,0.6737177504018317,0.6737177504018317,0.6737177504018317,,normal_fl
1.0,1.2987603522689362,0.9999999994179234,1.2987603522689362,0.9999999994179234,1.8608346475033413,1.000000013911631,1.8608346475033413,1.000000013911631,0.6545429326863158,0.6545429326863158,0.6545429326863158,0.6545429326863158,w3,scale_defended
2.0,1.2483795455622604,1.000000009604264,1.2483795455622604,1.000000009604264,1.8852876483829084,1.000000034924596,1.8852876483829084,1.000000034924596,0.5560510394126523,0.5560510394126523,0.5560510394126523,0.5560510394126523,w3,scale_defended
3.0,1.386441606628242,1.0000000166473908,1.386441606628242,1.0000000166473908,1.874263013041856,0.9999999630963424,1.874263013041856,0.9999999630963424,0.5532918034172943,0.5532918034172943,0.5532918034172943,0.5532918034172943,w3,scale_defended
4.0,1.227405024038132,1.0000000176078172,1.227405024038132,1.0000000176078172,2.007644050787494,1.0000000189465934,2.007644050787494,1.0000000189465934,0.5660841977619119,0.5660841977619119,0.5660841977619119,0.5660841977619119,w3,scale_defended
5.0,1.2963308147636177,1.0000000090221874,1.2963308147636177,1.0000000090221874,2.013272615185888,1.0000000209547577,2.013272615185888,1.0000000209547577,0.5299379863897726,0.5299379863897726,0.5299379863897726,0.5299379863897726,w3,scale_defended
6.0,1.217151168728174,1.0000000210566211,1.217151168728174,1.0000000210566211,2.1495325009556083,0.9999999983803604,2.1495325009556083,0.9999999983803604,0.5402913065318322,0.5402913065318322,0.5402913065318322,0.5402913065318322,w3,scale_defended
7.0,1.137896019423435,1.0000000271829772,1.137896019423435,1.0000000271829772,2.183746495901194,0.9999999544816082,2.183746495901194,0.9999999544816082,0.5575562811706761,0.5575562811706761,0.5575562811706761,0.5575562811706761,w3,scale_defended
8.0,1.244730491264797,0.999999959691194,1.244730491264797,0.999999959691194,2.2470302475118213,1.0000000520376475,2.2470302475118213,1.0000000520376475,0.5490633833744731,0.5490633833744731,0.5490633833744731,0.5490633833744731,w3,scale_defended
