round,normal_fl_loss,normal_fl_f1,normal_fl_recall,normal_fl_precision,normal_fl_roc_auc,normal_fl_pr_auc,sign_flip_no_defense_loss,sign_flip_no_defense_f1,sign_flip_no_defense_recall,sign_flip_no_defense_precision,sign_flip_no_defense_roc_auc,sign_flip_no_defense_pr_auc,sign_flip_defended_loss,sign_flip_defended_f1,sign_flip_defended_recall,sign_flip_defended_precision,sign_flip_defended_roc_auc,sign_flip_defended_pr_auc,scale_no_defense_loss,scale_no_defense_f1,scale_no_defense_recall,scale_no_defense_precision,scale_no_defense_roc_auc,scale_no_defense_pr_auc,scale_defended_loss,scale_defended_f1,scale_defended_recall,scale_defended_precision,scale_defended_roc_auc,scale_defended_pr_auc,label_flip_no_defense_loss,label_flip_no_defense_f1,label_flip_no_defense_recall,label_flip_no_defense_precision,label_flip_no_defense_roc_auc,label_flip_no_defense_pr_auc,label_flip_defended_loss,label_flip_defended_f1,label_flip_defended_recall,label_flip_defended_precision,label_flip_defended_roc_auc,label_flip_defended_pr_auc
11,0.1649084425659248,0.2437137330754352,0.8513513513513513,0.1422121896162528,0.9342778343903836,0.7212155554898076,0.6034311260487293,0.0006195786864931,0.054054054054054,0.000311575011684,0.0822933935623862,0.0009015906884292,0.1709894013415543,0.2698072805139186,0.8513513513513513,0.1603053435114503,0.9279941520023118,0.7262620748193171,0.1183953978812562,0.2028985507246377,0.8513513513513513,0.1151736745886654,0.954383019767094,0.7210756260959117,0.1576482265978595,0.2733188720173535,0.8513513513513513,0.1627906976744186,0.9280258381623042,0.7258918151919064,0.1555028235301344,0.7085714285714285,0.8378378378378378,0.6138613861386139,0.9337648354601082,0.7432961175270608,0.1644936763644706,0.266384778012685,0.8513513513513513,0.1578947368421052,0.929515087681942,0.7237097298777433
12,0.1532919944464647,0.250996015936255,0.8513513513513513,0.1471962616822429,0.9342835378991824,0.7276391577176844,0.6010682759800678,0.0004677633117642,0.0405405405405405,0.0002352387673488,0.0826384558447023,0.0009015986048002,0.1578301931887395,0.2916666666666667,0.8513513513513513,0.1759776536312849,0.9272473092112936,0.7353455748675659,0.1129798119946669,0.2096505823627288,0.8513513513513513,0.1195445920303605,0.9542619786359234,0.730011237241004,0.1463138649470867,0.2992874109263658,0.8513513513513513,0.1815561959654178,0.9273255740264744,0.7374117279362546,0.1428506806595724,0.6813186813186813,0.8378378378378378,0.5740740740740741,0.9306953971416548,0.741826987455931,0.1521349333271852,0.2903225806451613,0.8513513513513513,0.175,0.9284640577549976,0.735625194280145
13,0.1431248995309735,0.2703862660944206,0.8513513513513513,0.1607142857142857,0.934959403691818,0.730600263273162,0.6060956468762655,0.0004590314436538,0.0405405405405405,0.0002308224974994,0.0819768488240632,0.0009010897047962,0.1461846710107862,0.3727810650887574,0.8513513513513513,0.2386363636363636,0.9288522132149032,0.734569212308031,0.1061326266412742,0.2359550561797752,0.8513513513513513,0.1369565217391304,0.9545541250310524,0.7303743845572652,0.1359413170952875,0.3841463414634146,0.8513513513513513,0.2480314960629921,0.9286285089253576,0.7347231164035489,0.1304198998006304,0.7380952380952381,0.8378378378378378,0.6595744680851063,0.934021334925246,0.7410644141098078,0.1410079816123206,0.3652173913043478,0.8513513513513513,0.2324723247232472,0.929227377349212,0.7346517659755833
14,0.1359479606913395,0.2630480167014614,0.8513513513513513,0.1555555555555555,0.9343003315639782,0.7295082925842393,0.6231600585476925,0.0005822840090254,0.054054054054054,0.0002927186242224,0.0861714626838431,0.0009040666151276,0.1386613098637532,0.3088235294117647,0.8513513513513513,0.1886227544910179,0.9280378789031012,0.7346574169861156,0.1027264649588725,0.2307692307692307,0.8513513513513513,0.1334745762711864,0.9550652227917282,0.7288934896299357,0.1294973889748741,0.3157894736842105,0.8513513513513513,0.1938461538461538,0.9278398404031494,0.7344806058915463,0.1232124278948056,0.6631016042780749,0.8378378378378378,0.5486725663716814,0.933203356705045,0.7348288369570484,0.1340233595879775,0.3103448275862069,0.8513513513513513,0.1897590361445783,0.9283125979102343,0.7342788865916714
15,0.134442999387176,0.252,0.8513513513513513,0.1478873239436619,0.9335699655761558,0.7306833456979573,0.6248411686021285,0.0005833454863642,0.054054054054054,0.0002932551319648,0.0852405233032695,0.0009039212709725,0.1393755997395095,0.2709677419354839,0.8513513513513513,0.1611253196930946,0.9279181052183304,0.7309936751322141,0.1045593730678487,0.2,0.8513513513513513,0.1133093525179856,0.954046195886376,0.7238895433736274,0.1308801541634526,0.2745098039215686,0.8513513513513513,0.1636363636363636,0.9277679128199668,0.7307660308739602,0.1174063797840302,0.6262626262626263,0.8378378378378378,0.5,0.934420738971949,0.7287881413527412,0.1349432875086438,0.2733188720173535,0.8513513513513513,0.1627906976744186,0.928449165259801,0.730678013902747
16,0.1247836175153759,0.2692307692307692,0.8513513513513513,0.1598984771573604,0.9341669328304104,0.73096669722369,0.6305779034531082,0.0005776173285198,0.054054054054054,0.0002903600464576,0.0843650347026824,0.0009040447986098,0.1279442844619979,0.3230769230769231,0.8513513513513513,0.1993670886075949,0.9278471282199476,0.7373293165007792,0.0959380156122063,0.24,0.8513513513513513,0.1396895787139689,0.953918183800007,0.7302828287905341,0.1204946648370447,0.3289817232375979,0.8513513513513513,0.203883495145631,0.9276414850415976,0.7376127875311909,0.1097650498886503,0.6739130434782609,0.8378378378378378,0.5636363636363636,0.9335645789289572,0.7285341981262848,0.1240533355208756,0.3222506393861892,0.8513513513513513,0.1987381703470031,0.9282834466430414,0.7359953426712311
17,0.1180199418953242,0.2739130434782608,0.8513513513513513,0.1632124352331606,0.934901101157432,0.731291587086472,0.6463520290205156,0.0005623901581722,0.054054054054054,0.0002826655360045,0.087232632181985,0.0009057902441063,0.1190342293879657,0.3962264150943396,0.8513513513513513,0.2581967213114754,0.927902578999934,0.7378727131987945,0.0939662853686044,0.2342007434944238,0.8513513513513513,0.1357758620689655,0.9555196023260176,0.7275542787134462,0.1124355469007943,0.4038461538461538,0.8513513513513513,0.2647058823529412,0.9277412964455732,0.7381472136783304,0.1030263286241886,0.6595744680851063,0.8378378378378378,0.543859649122807,0.9349407088574224,0.7226603991206286,0.1154903590444417,0.3949843260188088,0.8513513513513513,0.2571428571428571,0.9284119340218102,0.7382930649110272
18,0.1122384475956926,0.2775330396475771,0.8513513513513513,0.1657894736842105,0.936332523435084,0.7334125539325502,0.6429397533898873,0.0005714285714285,0.054054054054054,0.0002872325147206,0.0877833376426511,0.000909144271562,0.1140524392406922,0.36,0.8513513513513513,0.2282608695652173,0.9305160534760986,0.7393007874120082,0.0897185092049561,0.2381852551984877,0.8513513513513513,0.1384615384615384,0.9567005455089304,0.7277351977322041,0.1080880549793844,0.3652173913043478,0.8513513513513513,0.2324723247232472,0.9303436807657404,0.7394186958926483,0.0966268445685169,0.7045454545454546,0.8378378378378378,0.6078431372549019,0.9382471596526184,0.7256160340592664,0.1107968629252243,0.3569405099150141,0.8513513513513513,0.2258064516129032,0.9310027528935804,0.7391793367951869
19,0.1085910731889943,0.2883295194508009,0.8513513513513513,0.1735537190082644,0.936764247364979,0.7356024127324153,0.6513183443281746,0.0005681414672253,0.054054054054054,0.0002855714999643,0.0895232246878279,0.0009169933503509,0.1118154415839783,0.3529411764705882,0.8513513513513513,0.2226148409893993,0.9312023757015316,0.739979826603885,0.0872759633811717,0.2377358490566037,0.8513513513513513,0.1381578947368421,0.954465086921474,0.7293379176101243,0.1062985335645974,0.3559322033898305,0.8513513513513513,0.225,0.931056936227167,0.7401872041562846,0.0924330723863021,0.7005649717514124,0.8378378378378378,0.6019417475728155,0.9405951041080474,0.7271010285271815,0.1087562326704843,0.3519553072625698,0.8513513513513513,0.2218309859154929,0.931570885742242,0.7402264304008751
20,0.101446651376962,0.3028846153846153,0.8513513513513513,0.1842105263157894,0.9362182948283118,0.737038256570721,0.6674949096428753,0.0005609704789285,0.054054054054054,0.0002819482624938,0.0895713876510162,0.000930003614011,0.1063349602756087,0.373887240356083,0.8513513513513513,0.2395437262357414,0.9307964759920304,0.7389546853682867,0.0808924959090347,0.2456140350877192,0.8513513513513513,0.143507972665148,0.954407418110288,0.7307718566505813,0.1013722048847139,0.3795180722891566,0.8513513513513513,0.2441860465116279,0.9306849407088577,0.7392489208539968,0.0854391941121547,0.7607361963190185,0.8378378378378378,0.6966292134831461,0.9399567864150024,0.7289129516625135,0.1034186802604924,0.3727810650887574,0.8513513513513513,0.2386363636363636,0.9310241410515748,0.739118751632517
