round,num_clients,w3_update_norm,w3_clipped_norm,w3_grad_norm_before,w3_grad_norm_after,w3_clip_threshold,w3_noise_multiplier,w3_noise_scale,w3_is_malicious,w3_attack_strength,w2_update_norm,w2_clipped_norm,w2_grad_norm_before,w2_grad_norm_after,w2_clip_threshold,w2_noise_multiplier,w2_noise_scale,w2_is_malicious,w2_attack_strength,w1_update_norm,w1_clipped_norm,w1_grad_norm_before,w1_grad_norm_after,w1_clip_threshold,w1_noise_multiplier,w1_noise_scale,w1_is_malicious,w1_attack_strength,w3_agg_score,w3_selected,w2_agg_score,w2_selected,w1_agg_score,w1_selected,rejected_clients
11.0,3.0,0.5801708070329556,0.5801708070329556,0.5801708070329556,0.5801708070329556,1.0,0.01,0.01,1.0,5.0,0.10806959389601617,0.10806959389601617,0.10806959389601617,0.10806959389601617,1.0,0.01,0.01,0.0,0.0,0.19796904881898145,0.19796904881898145,0.19796904881898145,0.19796904881898145,1.0,0.01,0.01,0.0,0.0,0.25957581400871277,0.0,0.056807342916727066,1.0,0.056807342916727066,1.0,w3
12.0,3.0,0.5581093001213292,0.5581093001213292,0.5581093001213292,0.5581093001213292,1.0,0.01,0.01,1.0,5.0,0.10620087809905712,0.10620087809905712,0.10620087809905712,0.10620087809905712,1.0,0.01,0.01,0.0,0.0,0.20360652994722772,0.20360652994722772,0.20360652994722772,0.20360652994722772,1.0,0.01,0.01,0.0,0.0,0.28788691759109497,0.0,0.05606015399098396,1.0,0.05606015399098396,1.0,w3
13.0,3.0,0.553054231760989,0.553054231760989,0.553054231760989,0.553054231760989,1.0,0.01,0.01,1.0,5.0,0.11796380247389612,0.11796380247389612,0.11796380247389612,0.11796380247389612,1.0,0.01,0.01,0.0,0.0,0.1119080942203567,0.1119080942203567,0.1119080942203567,0.1119080942203567,1.0,0.01,0.01,0.0,0.0,0.2623830735683441,0.0,0.03455152362585068,1.0,0.03455152362585068,1.0,w3
14.0,3.0,0.5619377399079611,0.5619377399079611,0.5619377399079611,0.5619377399079611,1.0,0.01,0.01,1.0,5.0,0.10445530521261645,0.10445530521261645,0.10445530521261645,0.10445530521261645,1.0,0.01,0.01,0.0,0.0,0.1343410687521768,0.1343410687521768,0.1343410687521768,0.1343410687521768,1.0,0.01,0.01,0.0,0.0,0.3067350387573242,0.0,0.025140462443232536,1.0,0.025140462443232536,1.0,w3
15.0,3.0,0.5479622999257098,0.5479622999257098,0.5479622999257098,0.5479622999257098,1.0,0.01,0.01,1.0,5.0,0.11687808499106157,0.11687808499106157,0.11687808499106157,0.11687808499106157,1.0,0.01,0.01,0.0,0.0,0.11406225500831683,0.11406225500831683,0.11406225500831683,0.11406225500831683,1.0,0.01,0.01,0.0,0.0,0.2914741039276123,0.0,0.03310558199882507,1.0,0.03310558199882507,1.0,w3
16.0,3.0,0.567737251968412,0.567737251968412,0.567737251968412,0.567737251968412,1.0,0.01,0.01,1.0,5.0,0.11124446691093323,0.11124446691093323,0.11124446691093323,0.11124446691093323,1.0,0.01,0.01,0.0,0.0,0.2199177355402132,0.2199177355402132,0.2199177355402132,0.2199177355402132,1.0,0.01,0.01,0.0,0.0,0.2579383850097656,0.0,0.0957748293876648,1.0,0.0957748293876648,1.0,w3
17.0,3.0,0.5695481044070229,0.5695481044070229,0.5695481044070229,0.5695481044070229,1.0,0.01,0.01,1.0,5.0,0.09616444564709745,0.09616444564709745,0.09616444564709745,0.09616444564709745,1.0,0.01,0.01,0.0,0.0,0.1805042900661387,0.1805042900661387,0.1805042900661387,0.1805042900661387,1.0,0.01,0.01,0.0,0.0,0.27461978793144226,0.0,0.06849950551986694,1.0,0.06849950551986694,1.0,w3
18.0,3.0,0.5802830228267445,0.5802830228267445,0.5802830228267445,0.5802830228267445,1.0,0.01,0.01,1.0,5.0,0.08839636778033612,0.08839636778033612,0.08839636778033612,0.08839636778033612,1.0,0.01,0.01,0.0,0.0,0.13371792698110108,0.13371792698110108,0.13371792698110108,0.13371792698110108,1.0,0.01,0.01,0.0,0.0,0.27343684434890747,0.0,0.037320327013731,1.0,0.037320327013731,1.0,w3
19.0,3.0,0.5716728062764564,0.5716728062764564,0.5716728062764564,0.5716728062764564,1.0,0.01,0.01,1.0,5.0,0.08982643949985294,0.08982643949985294,0.08982643949985294,0.08982643949985294,1.0,0.01,0.01,0.0,0.0,0.10899527872908256,0.10899527872908256,0.10899527872908256,0.10899527872908256,1.0,0.01,0.01,0.0,0.0,0.31401970982551575,0.0,0.04149596393108368,1.0,0.04149596393108368,1.0,w3
20.0,3.0,0.5915939184471416,0.5915939184471416,0.5915939184471416,0.5915939184471416,1.0,0.01,0.01,1.0,5.0,0.10554792788487856,0.10554792788487856,0.10554792788487856,0.10554792788487856,1.0,0.01,0.01,0.0,0.0,0.19017956519850665,0.19017956519850665,0.19017956519850665,0.19017956519850665,1.0,0.01,0.01,0.0,0.0,0.28926801681518555,0.0,0.07654005289077759,1.0,0.07654005289077759,1.0,w3
